symbol,name,exchange,fullpointvalue,currency,contractsize,units,minimumtick,multiplier
BTP,Long-Term Italian Govt Bond-BTP,EUREX,1000,EUR,EUR 100000,points,1,1
FVS,VSTOXX Mini,EUREX,100,EUR,EUR 100 x Index,Points,5,1
TTM,Dutch TTF Gas M,ICE-EU,1000,EUR,1MWh/day,EUR/MWh,25,1
MEM,mini MSCI Emerging Markets Index,ICE-US,50,USD,USD 50 x Index,points,100,1
CSC,Cash Settled Cheese,CME,20000,USD,20000 pounds,$/pound,1,1
MGC,E-Micro Gold,COMEX,10,USD,10 troy ounce,US Dollar/troy ounce,1,1
A50,China A50 Index,SGX,1,USD,$1 x Index,points,1,1
CTC,Thermal Coal,ZCE,100,CNY,100 metric tons,CNY/metric ton,2,1
FOA,Euro-OAT (10yr),EUREX,1000,EUR,EUR 100000,Percent,1,1
FXP,STOXX Europe 600 Index,EUREX,50,EUR,EUR 50 x Index,points,1,1
MJY,E-Micro JPY / USD,CME,1250000,USD,JPY1250000,USD / JPY,5,1
FSM,E-Micro CHF / USD,CME,12500,USD,CHF 12500,USD / CHF,1,1
MCD,E-Micro CAD / USD,CME,10000,USD,CAD 10000,USD / CAD,5,1
MIR,E-Micro INR / USD,CME,100,USD,INR 1000000,US cents / INR 100,1,0.01
DMJ,Coking Coal,DCE,60,CNY,60 metric tons,CNY/metric ton,5,1
SEF,TSI Iron Ore CFR China (62% Fe Fines) Index,SGX,100,USD,100 tonnes,USD/tonne,1,1
SIU,INR/USD,SGX,200,USD,INR2000000,US cents/100 Rupees,10,0.01
HS2,Mini Hang Seng Index,HKEX,10,HKD,HKD10 x Index,points,1,1
DIO,Iron Ore,DCE,100,CNY,100 metric ton,CNY/metric ton,5,1
CCO,Medium Sour Crude,SHFE,1000,CNY,1000 oil barrel,CNY/oil barrel,10,1
CBC,Bonded Copper,SHFE,5,CNY,5 tonnes,CNY/tonne,10,1
FNG,micro NYSE FANG+ Index,ICE-US,5,USD,USD 5 x Index,points,20,1
BTC,Bitcoin,CME,5,USD,5 Bitcoin,USD/Bitcoin,500,1
MES,Micro E-mini S&P 500 Index,CME,5,USD,USD 5 x Index,points,25,1
MNQ,Micro E-mini Nasdaq 100 Index,CME,2,USD,USD 2 x Index,points,25,1
MYM,Micro E-mini Dow Jones Industrial Average Index,CBT,0.5,USD,USD 0.50 x Index,points,1,1
MBT,micro Bitcoin,CME,0.1,USD,0.1 bitcoin,USD/bitcoin,5,1
MCL,micro WTI Crude Oil,NYMEX,100,USD,100 barrels,USD/barrel,1,1
CNR,TSR 20 Rubber,SHFE,10,CNY,10 tonnes,CNY/tonne,5,1
CPG,Liquid Petroleum Gas,DCE,20,CNY,20 tonnes,CNY/tonne,1,1
CLU,Low Sulfur Fuel Oil,SHFE,10,CNY,10 tonnes,CNY/tonne,1,1
TAI,FTSE Taiwan Index,SGX,40,USD,USD 40 x Index,points,25,1
KMD,mini KRW/USD,SGX,25000,USD,25000000 KRW,USD/1000 KRW,10,1
MET,Micro Ether,CME,0.1,USD,USD 0.1 x Index,points,50,1
